[ 92. 201.  91.  93.  85.  70.]
[ 49. 181.  43.  55.  57.  42.]
[ 56.  57.  45. 185.  63.  48.]
[ 69.  50.  53.  61. 190.  46.]
[ 61.  57.  64. 198.  64.  40.]
[ 59.  59. 194.  59.  48.  32.]
[ 63.  60.  65.  60.  59. 176.]
[ 74. 197.  56.  57.  60.  55.]
[ 71.  59. 193.  62.  61.  63.]
[ 77.  55.  56. 195.  61.  56.]
[ 74.  61.  59.  61. 187.  56.]
[ 87.  54.  61.  61. 191.  58.]
[ 95.  69.  77. 204.  74.  76.]
[101.  72. 195.  78.  70.  69.]
[103.  73. 202.  71.  74.  75.]
[105.  75.  72.  77.  76. 200.]
[ 92.  78.  82. 202.  71.  65.]
[101.  77. 205.  71.  73.  71.]
[ 91. 210.  68.  74.  74.  59.]
[130. 244. 117. 111. 105.  91.]
[ 54.  74. 188.  84.  79.  62.]
[ 24.  47.  65. 173.  50.  38.]
[ 21.  49. 174.  66.  54.  35.]
[ 31. 185.  73.  54.  52.  48.]
[ 33. 198.  59.  58.  64.  43.]
[ 28.  63.  60.  61.  68. 165.]
[ 26.  57.  53.  64. 188.  44.]
[ 33. 190.  55.  55.  54.  37.]
[ 33.  61. 196.  62.  60.  51.]
[ 35.  59.  53. 195.  48.  45.]
[ 30.  56. 192.  57.  51.  35.]
[ 32.  51. 193.  57.  50.  67.]
[ 23.  53.  49.  56.  47. 212.]
[ 32.  54.  47.  52. 182.  67.]
[ 31.  61.  60. 194.  50.  76.]
[ 33.  60. 196.  58.  55.  62.]
[ 36.  59.  60. 191.  47.  51.]
[ 30. 185.  52.  55.  47.  58.]
[ 23.  59. 191.  62.  55.  58.]
[ 32.  51.  50.  63. 190.  60.]
[ 24.  48.  47. 192.  53.  60.]
[ 55.  78. 212.  78.  76.  97.]
